City,Min 1,Max 1,Min 2,Max 2,Min 3,Max 3,Min 4,Max 4,Min 5,Max 5,Min Avg,Max Avg
"Anchorage, Alaska",9.09,12.02,9.14,13.79,9.42,13.30,9.32,12.79,10.17,11.75,9.43,12.73
"Chennai, India",27.30,33.25,27.86,33.86,27.96,33.73,28.01,33.80,28.20,33.99,27.87,33.73
"Jiangbei, China",23.46,31.59,24.68,33.79,25.40,32.18,24.81,35.12,24.91,32.90,24.65,33.12
"Kathmandu, Nepal",18.75,23.58,19.20,24.46,19.18,24.90,18.62,25.82,18.46,25.93,18.84,24.94
"Kothagudem, India",22.90,29.20,23.47,29.76,23.59,29.54,24.51,28.70,24.09,30.11,23.71,29.46
"Lima, Peru",15.08,17.97,15.11,18.86,15.64,18.81,15.56,18.72,15.63,19.14,15.40,18.70
"Manhasset, New York",21.94,27.38,21.16,23.86,18.26,25.28,18.27,25.64,20.43,28.56,20.01,26.14
"Mexico City, Mexico",14.23,21.69,13.00,23.04,12.35,21.91,12.02,21.43,13.74,19.92,13.07,21.60
"Nanaimo, Canada",15.84,19.26,13.56,19.05,13.03,18.52,13.57,17.09,12.35,16.20,13.67,18.02
"Peterhead, Scotland",11.54,15.67,12.14,13.60,12.43,14.76,11.34,12.83,9.21,13.52,11.33,14.08
"Polevskoy, Russia",1.77,10.90,6.78,10.30,3.64,9.08,1.96,4.44,1.55,9.68,3.14,8.88
"Round Rock, Texas",23.16,34.42,23.28,35.25,21.55,34.97,22.07,34.02,22.31,31.81,22.47,34.09
"Seoul, South Korea",18.82,27.78,19.09,29.66,21.99,28.09,20.75,29.14,20.65,31.17,20.26,29.17
"Solihull, England",16.78,27.26,15.33,21.94,14.94,21.77,12.22,19.25,10.17,14.50,13.89,20.94
"Tel Aviv, Israel",24.56,29.28,25.27,30.31,26.19,28.67,25.91,28.21,26.11,28.15,25.61,28.92
